	recall	precision	f1_score
MUC	0.9866399465597863	0.9946127946127946	0.9906103286384976
B3	0.6334941614023789	0.9804746765572108	0.7696864628280147
CEAF_m	0.7344559585492227	0.7344559585492227	0.7344559585492227
CEAF_e	0.8910009500449314	0.709780417832403	0.7901329179643731
BLANC	0.7158340490714239	0.9074273921647867	0.7546745013370633
CoNLL-2012 average score			
CONLL	0.8370450193356987	0.8949559630008027	0.8501432364769618
