	recall	precision	f1_score
MUC	0.9618497109826589	0.9519450800915332	0.9568717653824036
B3	0.8953738786458312	0.9166630156492995	0.9058933869581787
CEAF_m	0.9062191510365252	0.9062191510365252	0.9062191510365252
CEAF_e	0.7588375718773037	0.8079709398405823	0.7826338720407034
BLANC	0.9464777568759593	0.9657333031786148	0.9558385114736663
CoNLL-2012 average score			
CONLL	0.872020387168598	0.8921930118604716	0.8817996747937619
