	recall	precision	f1_score
MUC	0.5984251968503937	0.59375	0.596078431372549
B3	0.5580857051445287	0.5420445472875141	0.5499481769980425
CEAF_m	0.5401069518716578	0.5489130434782609	0.5444743935309974
CEAF_e	0.547974007355944	0.5871150078813686	0.5668696627820111
BLANC	0.6218352112945669	0.6365805376499942	0.6290609391396774
CoNLL-2012 average score			
CONLL	0.5681616364502888	0.5743031850562943	0.5709654237175342
