	recall	precision	f1_score
MUC	0.9861111111111112	0.9861111111111112	0.9861111111111112
B3	0.9287272727272727	0.9245421245421246	0.9266299730763536
CEAF_m	0.96	0.96	0.96
CEAF_e	0.9678631553631553	0.9678631553631553	0.9678631553631553
BLANC	0.9327780336807021	0.9299498799723274	0.9308487878124013
CoNLL-2012 average score			
CONLL	0.9609005130671796	0.9595054636721304	0.96020141318354
