	recall	precision	f1_score
MUC	0.9329758713136729	0.9380053908355795	0.9354838709677419
B3	0.9085339034761001	0.9163476012449516	0.9124240241859389
CEAF_m	0.8978805394990366	0.8978805394990366	0.8978805394990367
CEAF_e	0.8392676152567877	0.8279261609965609	0.8335583117516395
BLANC	0.9750037385976014	0.9536841845891751	0.9640541081511342
CoNLL-2012 average score			
CONLL	0.8935924633488536	0.8940930510256972	0.8938220689684401
