	recall	precision	f1_score
MUC	0.8111888111888111	0.9508196721311475	0.8754716981132076
B3	0.6804981930233006	0.964390243902439	0.797945688731883
CEAF_m	0.7365853658536585	0.7365853658536585	0.7365853658536585
CEAF_e	0.8488331560912207	0.6340681406946468	0.7258986990021473
BLANC	0.7634117204709621	0.9753846846823492	0.8357501959023393
CoNLL-2012 average score			
CONLL	0.7801733867677775	0.8497593522427445	0.799772028615746
