	recall	precision	f1_score
MUC	0.663447251114413	0.7587085811384877	0.7078874355925485
B3	0.17951259379805135	0.4070427520315511	0.24914716308836712
CEAF_m	0.2808362369337979	0.28480565371024735	0.2828070175438596
CEAF_e	0.26851858629647146	0.10041241252263008	0.1461660806139814
BLANC	0.5107704084026441	0.552363276400081	0.5185298709039198
CoNLL-2012 average score			
CONLL	0.3704928104029786	0.4220545818975563	0.36773355976496563
